,1d,1d_prc,prc_volume
1545,0.78,0.007938931,1.208756477
1546,4.67,0.04949131,0.36628237
1547,1.49,0.015275783999999999,0.145695367
1548,-1.71,-0.01697439,0.042366178
1549,-3.04,-0.029783482000000003,0.42862742200000004
1550,-2.58,-0.025391202,0.849995912
1551,-2.34,-0.023083753,1.743204477
1552,-1.42,-0.014136386,0.632116857
1553,1.03,0.010510203999999999,0.113260413
1554,-3.35,-0.032721235,-0.40220287
1555,-4.88,-0.046963719,0.270226934
1556,-0.31,-0.003120596,-0.17031451
1557,1.06,0.010819638999999999,0.46619196
1558,-0.45,-0.004523522,1.3147879120000001
1559,-3.15,-0.030827951,0.69347746
1560,-3.64,-0.035453394,0.361444573
1561,-1.41,-0.014038232,0.075505869
1562,0.03,0.00030303,0.18535574
1563,-0.34,-0.0034215559999999996,0.394293231
1564,1.71,0.085843373,-0.272351004
1565,0.58,0.027553444,-0.375092253
1566,-0.75,-0.033512064,-0.362483244
1567,-1.52,-0.065658747,-0.508122399
1568,-2.78,-0.113887751,-0.55769364
1569,1.14,0.055636896,-0.8284361109999999
1570,2.03,0.103571429,-0.33802275
1571,3.2,0.173629951,-0.257354519
1572,3.06,0.164781906,-0.342781475
1573,3.57,0.197674419,-0.221651231
1574,4.24,0.24381828600000002,0.157394949
1575,2.93,0.15668449199999998,-0.32773652600000003
1576,2.46,0.128325509,-0.11216581099999999
1577,2.47,0.128914405,0.334038106
1578,2.27,0.117252066,-0.188301264
1579,2.21,0.113800206,-0.24908069300000002
1580,2.22,0.114374034,-0.272165084
1581,2.09,0.106960082,-0.185074757
1582,0.15,0.00698324,-0.165228268
1583,0.33,0.015492958000000001,0.13701939
1584,1.47,0.072916667,0.406639291
1585,0.52,0.024632875,-0.18832561
1586,-16.89,-0.324495677,1.267251143
1587,-18.72,-0.347438753,1.121025008
1588,-20.56,-0.36898779600000003,0.16560488199999998
1589,-20.93,-0.373150294,0.6476981079999999
1590,-8.72,-0.19872379199999998,-0.676172067
1591,-5.14,-0.12754342400000002,-0.554925255
1592,-1.98,-0.053311792999999996,-0.466120429
1593,6.03,0.20700309,-0.27826727100000004
1594,4.73,0.15543871199999998,0.112015009
1595,1.65,0.049239033,0.044953392
1596,0.6,0.017361111000000002,0.00644781
1597,0.95,0.027769658,-0.21612611
1598,-3.49,-0.090297542,-0.779370711
1599,-5.15,-0.127759861,-0.846634586
1600,-4.35,-0.110098709,-0.727617528
1601,-3.25,-0.08461338199999999,-0.43482726899999996
1602,-9.87,-0.219187209,-0.767060152
1603,-12.34,-0.25978947399999996,-0.838157178
1604,-13.14,-0.272049689,-0.35535603600000004
1605,-9.72,-0.21657754,-0.484954455
1606,-11.02,-0.238631442,0.083782261
